1,2,0.084
1,101,0.852
2,1,0.289
2,3,0.615
2,102,0.897
3,2,0.167
3,4,0.177
3,103,0.330
4,3,0.834
4,5,0.851
4,104,0.987
5,4,0.120
5,6,0.758
5,105,0.666
6,5,0.442
6,7,0.282
6,106,0.006
7,6,0.722
7,8,0.020
7,107,0.703
8,7,0.041
8,9,0.682
8,108,0.685
9,8,0.658
9,10,0.170
9,109,0.003
10,9,0.132
10,11,0.446
10,110,0.571
11,10,0.289
11,12,0.952
11,111,0.497
12,11,0.165
12,13,0.681
12,112,0.414
13,12,0.945
13,14,0.339
13,113,0.893
14,13,0.204
14,15,0.021
14,114,0.866
15,14,0.450
15,16,0.165
15,115,0.949
16,15,0.200
16,17,0.109
16,116,0.838
17,16,0.739
17,18,0.973
17,117,0.298
18,17,0.343
18,19,0.069
18,118,0.560
19,18,0.635
19,20,0.514
19,119,0.535
20,19,0.468
20,21,0.302
20,120,0.924
21,20,0.128
21,22,0.610
21,121,0.346
22,21,0.982
22,23,0.868
22,122,0.282
23,22,0.539
23,24,0.653
23,123,0.509
24,23,0.527
24,25,0.967
24,124,0.520
25,24,0.022
25,26,0.380
25,125,0.137
26,25,0.822
26,27,0.755
26,126,0.520
27,26,0.907
27,28,0.666
27,127,0.538
28,27,0.714
28,29,0.291
28,128,0.588
29,28,0.638
29,30,0.003
29,129,0.617
30,29,0.854
30,31,0.550
30,130,0.378
31,30,0.525
31,32,0.601
31,131,0.080
32,31,0.278
32,33,0.120
32,132,0.818
33,32,0.417
33,34,0.660
33,133,0.802
34,33,0.081
34,35,0.686
34,134,0.952
35,34,0.149
35,36,0.048
35,135,0.750
36,35,0.667
36,37,0.792
36,136,0.435
37,36,0.681
37,38,0.687
37,137,0.464
38,37,0.923
38,39,0.038
38,138,0.584
39,38,0.976
39,40,0.461
39,139,0.772
40,39,0.208
40,41,0.474
40,140,0.624
41,40,0.305
41,42,0.750
41,141,0.856
42,41,0.881
42,43,0.518
42,142,0.397
43,42,0.518
43,44,0.358
43,143,0.118
44,43,0.274
44,45,0.139
44,144,0.802
45,44,0.602
45,46,0.455
45,145,0.106
46,45,0.507
46,47,0.709
46,146,0.848
47,46,0.879
47,48,0.279
47,147,0.867
48,47,0.354
48,49,0.908
48,148,0.381
49,48,0.896
49,50,0.355
49,149,0.855
50,49,0.304
50,51,0.213
50,150,0.576
51,50,0.351
51,52,0.442
51,151,0.632
52,51,0.819
52,53,0.190
52,152,0.855
53,52,0.988
53,54,0.316
53,153,0.913
54,53,0.940
54,55,0.556
54,154,0.652
55,54,0.141
55,56,0.776
55,155,0.676
56,55,0.437
56,57,0.804
56,156,0.876
57,56,0.314
57,58,0.269
57,157,0.736
58,57,0.953
58,59,0.640
58,158,0.264
59,58,0.710
59,60,0.001
59,159,0.663
60,59,0.563
60,61,0.911
60,160,0.472
61,60,0.981
61,62,0.964
61,161,0.722
62,61,0.020
62,63,0.765
62,162,0.656
63,62,0.394
63,64,0.914
63,163,0.690
64,63,0.316
64,65,0.793
64,164,0.486
65,64,0.121
65,66,0.615
65,165,0.060
66,65,0.918
66,67,0.034
66,166,0.478
67,66,0.258
67,68,0.163
67,167,0.756
68,67,0.695
68,69,0.817
68,168,0.326
69,68,0.982
69,70,0.602
69,169,0.177
70,69,0.841
70,71,0.433
70,170,0.686
71,70,0.677
71,72,0.951
71,171,0.807
72,71,0.982
72,73,0.760
72,172,0.898
73,72,0.946
73,74,0.651
73,173,0.132
74,73,0.388
74,75,0.084
74,174,0.260
75,74,0.104
75,76,0.103
75,175,0.610
76,75,0.119
76,77,0.215
76,176,0.080
77,76,0.008
77,78,0.054
77,177,0.473
78,77,0.252
78,79,0.806
78,178,0.482
79,78,0.232
79,80,0.164
79,179,0.721
80,79,0.859
80,81,0.885
80,180,0.552
81,80,0.872
81,82,0.421
81,181,0.933
82,81,0.494
82,83,0.862
82,182,0.689
83,82,0.136
83,84,0.530
83,183,0.194
84,83,0.573
84,85,0.028
84,184,0.609
85,84,0.601
85,86,0.569
85,185,0.126
86,85,0.644
86,87,0.711
86,186,0.156
87,86,0.472
87,88,0.458
87,187,0.638
88,87,0.789
88,89,0.248
88,188,0.589
89,88,0.623
89,90,0.397
89,189,0.746
90,89,0.514
90,91,0.027
90,190,0.883
91,90,0.429
91,92,0.727
91,191,0.640
92,91,0.765
92,93,0.495
92,192,0.219
93,92,0.605
93,94,0.045
93,193,0.510
94,93,0.860
94,95,0.217
94,194,0.939
95,94,0.390
95,96,0.616
95,195,0.592
96,95,0.080
96,97,0.734
96,196,0.521
97,96,0.096
97,98,0.599
97,197,0.309
98,97,0.574
98,99,0.220
